1. open,2. high,3. low,4. close,5. volume
555.0100,559.4000,552.7400,559.0900,51892735
548.7000,555.3600,539.9600,554.4200,75248608
548.3600,549.1500,543.3800,548.7900,36394579
544.6500,547.7100,542.6800,546.4100,40445822
549.9400,551.6000,539.4400,540.3600,68493805
550.8900,553.7995,547.1000,549.6100,44264258
550.2000,554.4300,549.4600,550.9500,46232483
560.4700,560.8100,549.5100,552.0800,60600113
560.7700,564.2000,557.1400,563.6800,62700110
560.3100,563.6800,557.1800,558.3500,38715176
561.2100,561.6500,555.0400,558.3000,41066024
559.4900,562.0600,558.3200,561.5600,32693898
563.1800,563.9100,559.0500,560.7900,35788609
559.5300,563.0900,557.2900,562.1300,50639393
562.5600,563.1800,554.9800,556.2200,56121456
559.7700,562.1100,554.7300,560.6200,41514600
559.1500,560.8400,557.3250,558.7000,33732264
554.7300,559.6100,553.8600,559.6100,39121793
551.4200,555.0200,551.2600,554.3100,44430728
549.5000,553.3600,548.8800,553.0700,60846812
542.8500,544.9600,540.1200,543.7500,42446929
536.5300,542.2800,536.2800,542.0400,52333073
534.2100,535.7300,530.9500,533.2700,42542069
529.8100,534.5100,528.5600,532.9900,45619558
523.9100,531.2900,521.8400,530.6500,63276589
528.4700,531.5900,518.0519,518.6600,70698340
519.2200,529.7500,517.8700,522.1500,84826312
511.6400,523.5800,510.2700,517.3800,146267391
535.7500,536.9900,528.6000,532.9000,82789070
552.5700,554.8688,539.4300,543.0100,76428732
548.9800,553.5000,547.5799,550.8100,65663388
546.2600,547.3400,538.5150,542.0000,46853632
546.0200,547.0500,542.7200,544.7600,39515824
542.2800,547.1900,541.4900,544.4400,53763788
541.3500,547.4550,537.4500,538.4100,61158288
548.8600,549.1700,540.2900,541.2300,74515266
554.5400,556.7350,553.2750,553.7800,34439561
553.0000,555.2700,551.0200,554.6500,43346720
552.4200,554.0800,547.9100,548.9900,65509081
558.5100,559.5200,550.4300,552.6600,56270392
558.8000,560.5100,556.6100,556.9400,57118956
562.8650,565.1600,562.1000,564.8600,36475260
562.0300,564.8371,559.6300,561.5300,40584293
557.6300,563.6700,557.1500,559.9900,53084405
561.4400,562.3300,555.8300,556.4800,53054184
557.0700,561.6700,556.7700,561.3200,38701220
556.2600,557.1800,555.5200,555.8200,27314125
555.4400,556.2501,554.1900,555.2800,36110451
551.7700,555.0500,551.1200,554.6400,41488389
548.6900,551.8300,548.6500,551.4600,32789911
543.7000,549.0100,543.6500,549.0100,40434792
545.6300,545.8800,542.5200,545.3400,40297810
547.1600,550.2800,542.9500,544.2200,76144535
545.3700,546.9600,544.6100,546.3700,35041480
543.6900,546.2400,543.0300,545.5100,38550637
543.9900,545.2000,542.4400,544.8300,38273346
544.3300,546.9500,542.6200,542.7400,45528654
544.4000,545.6500,543.0200,544.5100,64513859
549.4400,550.1200,545.1800,547.0000,70328226
547.1600,548.6200,546.7300,548.4900,41376417
542.0800,548.5300,541.6072,547.1000,55839457
540.8800,542.8100,539.8500,542.7800,40089895
543.1500,543.3250,539.5900,542.4500,44760949
541.6300,544.1200,540.3000,541.3600,63251305
534.0700,537.0100,532.0500,536.9500,36383411
533.1800,535.9900,532.5700,535.6600,35729252
533.6600,536.8900,532.5350,534.0100,43224525
534.9800,535.4200,532.6800,534.6600,30808530
530.7700,534.6900,528.7254,534.6700,47610365
526.4600,529.1500,524.9600,528.3900,34632661
529.0200,529.3100,522.6000,527.8000,46835702
523.5900,527.5000,518.3600,527.3700,90785755
524.5200,525.2000,521.3300,522.6100,46468510
525.6800,527.3100,525.3700,526.1000,45190323
530.2700,530.5100,527.1100,529.8100,36269602
527.8500,530.2700,526.8810,529.4400,41291076
532.9600,533.0700,524.7200,525.9600,57211197
530.6500,531.3800,527.6000,529.8300,48389968
529.2800,531.5200,529.0700,531.3600,33437001
529.5700,531.5601,529.1700,530.0600,37764206
528.8100,529.5200,527.3200,529.4500,59187585
529.8800,531.5218,528.5400,528.6900,50244827
525.8300,530.0800,525.1800,529.7800,59504897
521.1100,523.8300,520.5600,523.3000,57535867
522.5600,522.6700,519.7400,520.9100,36716361
521.8100,522.6350,519.5900,520.8400,52233171
517.3800,520.2074,516.7050,520.1700,43643668
515.2600,517.7400,515.1400,517.1900,42047214
517.5600,518.5700,516.4500,517.1400,52561299
513.7500,516.6100,513.3000,516.5700,47264703
511.1600,512.5500,508.5600,511.2900,72756709
504.1500,505.8900,499.5500,505.0300,62550179
501.3800,508.1900,499.8650,500.3500,80242839
508.5600,509.5600,501.9800,501.9800,77483566
510.0900,510.7500,507.2500,510.0600,46415449
506.3500,509.8800,505.7000,508.2600,64306118
499.1800,504.2700,497.4900,503.4900,69122368
506.5600,507.3700,503.1300,505.4100,55928076
501.7800,506.0900,499.5328,505.6500,64633620
497.8300,502.3800,495.4300,499.7200,67961048
499.4400,500.4550,493.8600,495.1600,102212587
501.9800,504.1300,498.5600,499.5200,74548085
506.0500,506.2200,499.1200,500.5500,75910305
504.9400,506.5000,502.2100,503.5300,73484020
515.1300,515.3000,503.5800,504.4500,92101447
514.3700,515.8150,509.0800,510.8500,92561094
515.6800,519.4800,512.0800,518.0000,70099007
513.4800,516.1600,512.0900,514.1200,82652806
520.5000,520.7500,514.3500,519.3200,67283576
519.1500,520.1800,517.8900,518.7200,47850048
514.4600,520.4400,514.0100,518.4300,73736571
523.5200,523.8674,512.7550,513.0700,95643401
517.7200,520.9500,517.6650,519.4100,58385823
518.2400,518.9800,516.4800,518.8400,72924463
523.8300,524.3800,520.9700,522.1600,61182995
523.2100,524.6100,522.7800,523.0700,96294886
521.7100,523.2100,519.4850,523.1700,82999777
521.2300,521.5800,518.4000,518.8100,65463744
519.8000,520.9500,519.6100,519.7700,48512108
